,Approval Date,Company Token,Submission,Active Ingredients,Submission Classification *,Submission Status
45,01/12/2018,['exelixis'],suppl-5,cabozantinib s-malate,labeling,approval
46,01/12/2018,['astrazeneca'],suppl-1,olaparib,efficacy,approval
47,01/12/2018,"['intersect', 'ent']",suppl-1,mometasone furoate,labeling,approval
48,01/12/2018,['vitruvias'],orig-1,potassium chloride,,approval
49,01/16/2018,['bayer'],suppl-10,diphenhydramine hydrochloride; naproxen sodium,labeling,approval
50,01/16/2018,['fresenius'],orig-1,remifentanil hydrochloride,,approval
51,01/16/2018,[],orig-1,lidocaine,,approval
52,01/17/2018,['onyx'],suppl-17,carfilzomib,efficacy,approval
53,01/17/2018,['actavis'],orig-1,cabazitaxel,type 5 - new formulation or new manufacturer,tentative approval
54,01/17/2018,['viiv'],suppl-1,dolutegravir sodium; rilpivirine hydrochloride,labeling,approval
55,01/17/2018,['ascent'],orig-1,hydromorphone hydrochloride,,approval
56,01/18/2018,['pfizer'],suppl-39,meropenem,labeling,approval
57,01/18/2018,"['kythera', 'biopharms']",suppl-1,deoxycholic acid,labeling,approval
58,01/18/2018,['accord'],orig-1,tigecycline,type 5 - new formulation or new manufacturer,approval
59,01/19/2018,"['chattem', 'sanofi']",suppl-44,triamcinolone acetonide,labeling,approval
60,01/19/2018,['bracco'],suppl-14,gadobenate dimeglumine,efficacy,approval
61,01/19/2018,['bracco'],suppl-13,gadobenate dimeglumine,efficacy,approval
62,01/19/2018,['hikma'],suppl-26,doxorubicin hydrochloride,manufacturing (cmc),approval
63,01/19/2018,['braun'],suppl-3,meropenem,labeling,approval
64,01/19/2018,['sandoz'],orig-1,ticagrelor,,tentative approval
65,01/19/2018,['amneal'],orig-1,docetaxel,,approval
66,01/19/2018,['reddys'],orig-1,levocetirizine dihydrochloride,,approval
67,01/22/2018,['pfizer'],suppl-68,fluconazole,labeling,approval
68,01/22/2018,['pfizer'],suppl-49,fluconazole,labeling,approval
69,01/22/2018,['zyla'],suppl-18,ketorolac tromethamine,labeling,approval
70,01/22/2018,['padagis'],orig-1,estradiol,,approval
71,01/23/2018,[],suppl-102,glatiramer acetate,labeling,approval
72,01/23/2018,['astrazeneca'],suppl-9,roflumilast,efficacy,approval
73,01/23/2018,['novartis'],suppl-13,secukinumab,,approval
74,01/23/2018,['padagis'],orig-1,adapalene; benzoyl peroxide,,approval
75,01/23/2018,['bracco'],suppl-6,barium sulfate,efficacy,approval
76,01/23/2018,['bracco'],suppl-6,barium sulfate,efficacy,approval
77,01/23/2018,['bracco'],suppl-6,barium sulfate,efficacy,approval
78,01/23/2018,['bracco'],suppl-6,barium sulfate,efficacy,approval
79,01/23/2018,['bracco'],suppl-6,barium sulfate,efficacy,approval
80,01/23/2018,['bracco'],suppl-6,barium sulfate,efficacy,approval
81,01/23/2018,['bracco'],suppl-6,barium sulfate,efficacy,approval
82,01/23/2018,['bracco'],suppl-6,barium sulfate,efficacy,approval
83,01/23/2018,"['upsher', 'smith']",orig-1,bumetanide,,approval
84,01/23/2018,"['cspc', 'ouyi']",orig-1,celecoxib,,approval
85,01/24/2018,['janssen'],suppl-72,fentanyl,efficacy,approval
86,01/24/2018,['janssen'],suppl-73,fentanyl,manufacturing (cmc),approval
87,01/24/2018,['janssen'],suppl-72,fentanyl,efficacy,approval
88,01/24/2018,['janssen'],suppl-73,fentanyl,manufacturing (cmc),approval
89,01/24/2018,['janssen'],suppl-72,fentanyl,efficacy,approval
90,01/24/2018,['janssen'],suppl-73,fentanyl,manufacturing (cmc),approval
91,01/24/2018,['janssen'],suppl-72,fentanyl,efficacy,approval
92,01/24/2018,['janssen'],suppl-73,fentanyl,manufacturing (cmc),approval
93,01/24/2018,['janssen'],suppl-72,fentanyl,efficacy,approval
94,01/24/2018,['janssen'],suppl-73,fentanyl,manufacturing (cmc),approval
95,01/24/2018,['janssen'],suppl-72,fentanyl,efficacy,approval
96,01/24/2018,['janssen'],suppl-73,fentanyl,manufacturing (cmc),approval
97,01/24/2018,['otsuka'],suppl-17,busulfan,labeling,approval
98,01/24/2018,['viatris'],suppl-10,nitroglycerin,labeling,approval
99,01/24/2018,['endo'],suppl-10,testosterone undecanoate,labeling,approval
100,01/24/2018,['perrigo'],suppl-30,ranitidine hydrochloride,manufacturing (cmc),approval
101,01/24/2018,['amgen'],suppl-185,denosumab,,approval
102,01/24/2018,['amgen'],suppl-185,denosumab,,approval
103,01/24/2018,['astrazeneca'],suppl-9,esomeprazole magnesium,labeling,approval
104,01/24/2018,['taro'],orig-1,adapalene; benzoyl peroxide,,approval
105,01/24/2018,['taro'],orig-2,adapalene; benzoyl peroxide,labeling,approval
106,01/24/2018,['salix'],suppl-1,plecanatide,efficacy,approval
107,01/24/2018,['bdsi'],suppl-2,naldemedine tosylate,labeling,approval
108,01/25/2018,['bristol'],suppl-53,didanosine,labeling,approval
109,01/25/2018,"['bristol', 'myers', 'squibb']",suppl-28,didanosine,labeling,approval
110,01/25/2018,['janssen'],suppl-47,darunavir,labeling,approval
111,01/25/2018,['abbvie'],suppl-17,bismuth subcitrate potassium; metronidazole; tetracycline hydrochloride,labeling,approval
112,01/25/2018,['janssen'],suppl-21,darunavir,labeling,approval
113,01/25/2018,['janssen'],suppl-6,cobicistat; darunavir,labeling,approval
114,01/25/2018,['janssen'],suppl-7,cobicistat; darunavir,labeling,approval
115,01/25/2018,['micro'],orig-1,lamivudine;tenofovir disoproxil fumarate,type 4 - new combination,tentative approval
116,01/25/2018,['bdsi'],suppl-1,buprenorphine hydrochloride; naloxone hydrochloride,labeling,approval
117,01/25/2018,['vertex'],suppl-7,ivacaftor; lumacaftor,efficacy,approval
118,01/25/2018,['alkermes'],suppl-9,aripiprazole lauroxil,labeling,approval
119,01/26/2018,['fresenius'],suppl-30,hydromorphone hydrochloride,labeling,approval
120,01/26/2018,['fresenius'],suppl-30,hydromorphone hydrochloride,labeling,approval
121,01/26/2018,['cipla'],orig-1,tenofovir disoproxil fumarate,,approval
122,01/26/2018,['cipla'],orig-2,tenofovir disoproxil fumarate,,approval
123,01/26/2018,['aurobindo'],orig-1,emtricitabine; tenofovir disoproxil fumarate,,approval
124,01/26/2018,['hetero'],orig-1,tenofovir disoproxil fumarate,,approval
125,01/26/2018,['hetero'],orig-2,tenofovir disoproxil fumarate,,approval
126,01/26/2018,['aurobindo'],orig-1,tenofovir disoproxil fumarate,,approval
127,01/26/2018,['aurobindo'],orig-2,tenofovir disoproxil fumarate,,approval
128,01/26/2018,['aurobindo'],orig-3,tenofovir disoproxil fumarate,,approval
129,01/26/2018,['strides'],orig-1,tenofovir disoproxil fumarate,,approval
130,01/26/2018,[],suppl-1,tenofovir disoproxil fumarate,,tentative approval
131,01/26/2018,['alexion'],suppl-3,asfotase alfa,,approval
132,01/26/2018,['hospira'],suppl-8,gemcitabine hydrochloride,labeling,approval
133,01/26/2018,['macleods'],orig-1,tenofovir disoproxil fumarate,,approval
134,01/26/2018,['macleods'],orig-2,tenofovir disoproxil fumarate,,approval
135,01/26/2018,"['am', 'regent']",suppl-5,ferric carboxymaltose,efficacy,approval
136,01/26/2018,['gilead'],suppl-9,idelalisib,labeling,approval
137,01/26/2018,['genentech'],suppl-2,cobimetinib fumarate,efficacy,approval
138,01/26/2018,['amneal'],orig-1,argatroban,,approval
139,01/26/2018,['novartis'],suppl-5,deferasirox,labeling,approval
140,01/26/2018,['aaa'],orig-1,lutetium lu 177 dotatate,type 1 - new molecular entity,approval
141,01/26/2018,['azurity'],orig-1,vancomycin hydrochloride,type 5 - new formulation or new manufacturer,approval
142,01/26/2018,['fresenius'],orig-1,atropine sulfate,,approval
143,01/26/2018,['strides'],orig-1,piroxicam,,approval
144,01/26/2018,['spil'],orig-1,metoprolol succinate,type 3 - new dosage form,approval
145,01/26/2018,"['valeant', 'luxembourg']",suppl-4,brodalumab,,approval
146,01/26/2018,['sandoz'],suppl-1,etanercept-szzs,,approval
147,01/29/2018,['akorn'],suppl-12,acetaminophen; codeine phosphate,labeling,approval
148,01/29/2018,['torrent'],suppl-26,lamotrigine,labeling,approval
149,01/29/2018,['valeant'],suppl-21,acetaminophen; codeine phosphate,labeling,approval
150,01/29/2018,['assoc'],suppl-41,acetaminophen; codeine phosphate,labeling,approval
151,01/29/2018,['cmp'],suppl-9,sodium polystyrene sulfonate,labeling,approval
152,01/29/2018,"['boehringer', 'ingelheim']",suppl-9,nintedanib esylate,labeling,approval
153,01/29/2018,['encube'],suppl-1,triamcinolone acetonide,manufacturing (cmc),approval
154,01/29/2018,['cipla'],orig-1,testosterone,,approval
155,01/29/2018,['strides'],orig-1,nystatin; triamcinolone acetonide,,approval
156,01/29/2018,"['jubilant', 'generics']",orig-1,clonidine hydrochloride,,approval
157,01/30/2018,['ferring'],suppl-29,somatropin,,approval
158,01/30/2018,['ferring'],suppl-40,somatropin,,approval
159,01/30/2018,['ferring'],suppl-45,somatropin,,approval
160,01/30/2018,['ferring'],suppl-47,somatropin,,approval
161,01/30/2018,['ferring'],suppl-29,somatropin,,approval
162,01/30/2018,['ferring'],suppl-40,somatropin,,approval
163,01/30/2018,['ferring'],suppl-45,somatropin,,approval
164,01/30/2018,['ferring'],suppl-47,somatropin,,approval
165,01/30/2018,"['actavis', 'mid', 'atlantic']",suppl-75,acetaminophen; codeine phosphate,labeling,approval
166,01/30/2018,"['acs', 'dobfar', 'spa']",suppl-1,ampicillin sodium,labeling,approval
167,01/30/2018,"['acs', 'dobfar', 'spa']",suppl-2,ampicillin sodium,labeling,approval
168,01/30/2018,['fresenius'],suppl-6,argatroban,labeling,approval
169,01/30/2018,['lupin'],orig-1,clobetasol propionate,,approval
170,01/31/2018,['hikma'],suppl-44,methadone hydrochloride,labeling,approval
171,01/31/2018,['hikma'],suppl-36,methadone hydrochloride,labeling,approval
172,01/31/2018,['vistapharm'],suppl-14,methadone hydrochloride,labeling,approval
173,01/31/2018,['vistapharm'],suppl-15,methadone hydrochloride,labeling,approval
174,01/31/2018,"['actavis', 'elizabeth']",suppl-11,buprenorphine hydrochloride,labeling,approval
175,01/31/2018,[],suppl-10,buprenorphine hydrochloride; naloxone hydrochloride,labeling,approval
176,01/31/2018,"['actavis', 'elizabeth']",suppl-20,buprenorphine hydrochloride; naloxone hydrochloride,labeling,approval
177,01/31/2018,"['actavis', 'elizabeth']",suppl-23,buprenorphine hydrochloride; naloxone hydrochloride,labeling,approval
178,01/31/2018,['mylan'],suppl-6,buprenorphine hydrochloride,labeling,approval
179,01/31/2018,['mylan'],suppl-7,buprenorphine hydrochloride,labeling,approval
180,01/31/2018,['sun'],suppl-3,buprenorphine hydrochloride; naloxone hydrochloride,labeling,approval
181,01/31/2018,['sun'],suppl-7,buprenorphine hydrochloride,labeling,approval
182,01/31/2018,['amneal'],suppl-14,buprenorphine hydrochloride; naloxone hydrochloride,labeling,approval
183,01/31/2018,['ethypharm'],suppl-11,buprenorphine hydrochloride; naloxone hydrochloride,labeling,approval
0,02/01/2018,['hikma'],suppl-45,methadone hydrochloride,labeling,approval
1,02/01/2018,['mallinckrodt'],suppl-18,methadone hydrochloride,labeling,approval
2,02/01/2018,['hikma'],suppl-25,methadone hydrochloride,labeling,approval
3,02/01/2018,['specgx'],suppl-32,methadone hydrochloride,labeling,approval
4,02/01/2018,['monarch'],suppl-61,sulfamethoxazole; trimethoprim,labeling,approval
5,02/01/2018,['monarch'],suppl-61,sulfamethoxazole; trimethoprim,labeling,approval
6,02/01/2018,['indivior'],suppl-18,buprenorphine hydrochloride,labeling,approval
7,02/01/2018,['indivior'],suppl-22,buprenorphine hydrochloride; naloxone hydrochloride,labeling,approval
8,02/01/2018,"['boehringer', 'ingelheim']",suppl-40,telmisartan,labeling,approval
9,02/01/2018,['pfizer'],suppl-37,linezolid,labeling,approval
10,02/01/2018,['pfizer'],suppl-30,linezolid,labeling,approval
11,02/01/2018,['pfizer'],suppl-35,linezolid,labeling,approval
12,02/01/2018,"['boehringer', 'ingelheim']",suppl-40,hydrochlorothiazide; telmisartan,labeling,approval
13,02/01/2018,"['boehringer', 'ingelheim']",suppl-48,tiotropium bromide,labeling,approval
14,02/01/2018,['viatris'],suppl-18,sildenafil citrate,labeling,approval
15,02/01/2018,"['boehringer', 'ingelheim']",suppl-19,amlodipine besylate; telmisartan,labeling,approval
16,02/01/2018,['indivior'],suppl-31,buprenorphine hydrochloride; naloxone hydrochloride,labeling,approval
17,02/01/2018,['hikma'],suppl-15,buprenorphine hydrochloride,labeling,approval
18,02/01/2018,['hikma'],suppl-45,methadone hydrochloride,labeling,approval
19,02/01/2018,['hikma'],suppl-37,methadone hydrochloride,labeling,approval
20,02/01/2018,['rubicon'],suppl-8,buprenorphine hydrochloride,labeling,approval
21,02/01/2018,['barr'],suppl-15,buprenorphine hydrochloride,labeling,approval
22,02/01/2018,['ethypharm'],suppl-25,buprenorphine hydrochloride,labeling,approval
23,02/01/2018,['vistapharm'],suppl-16,methadone hydrochloride,labeling,approval
24,02/01/2018,"['actavis', 'elizabeth']",suppl-12,buprenorphine hydrochloride,labeling,approval
25,02/01/2018,[],suppl-11,buprenorphine hydrochloride; naloxone hydrochloride,labeling,approval
26,02/01/2018,[],suppl-12,buprenorphine hydrochloride; naloxone hydrochloride,labeling,approval
27,02/01/2018,"['actavis', 'elizabeth']",suppl-24,buprenorphine hydrochloride; naloxone hydrochloride,labeling,approval
28,02/01/2018,['mylan'],suppl-8,buprenorphine hydrochloride,labeling,approval
29,02/01/2018,['sun'],suppl-4,buprenorphine hydrochloride; naloxone hydrochloride,labeling,approval
30,02/01/2018,['sun'],suppl-8,buprenorphine hydrochloride,labeling,approval
31,02/01/2018,['janssen'],suppl-11,rilpivirine hydrochloride,efficacy,approval
32,02/01/2018,['amneal'],suppl-16,buprenorphine hydrochloride; naloxone hydrochloride,labeling,approval
33,02/01/2018,['amneal'],suppl-17,buprenorphine hydrochloride; naloxone hydrochloride,labeling,approval
34,02/01/2018,['hikma'],suppl-10,buprenorphine hydrochloride; naloxone hydrochloride,labeling,approval
35,02/01/2018,['orexo'],suppl-14,buprenorphine hydrochloride; naloxone hydrochloride,labeling,approval
36,02/01/2018,['ethypharm'],suppl-13,buprenorphine hydrochloride; naloxone hydrochloride,labeling,approval
37,02/01/2018,['titan'],suppl-6,buprenorphine hydrochloride,labeling,approval
38,02/01/2018,['lannett'],suppl-2,buprenorphine hydrochloride; naloxone hydrochloride,labeling,approval
39,02/01/2018,['lannett'],suppl-3,buprenorphine hydrochloride; naloxone hydrochloride,labeling,approval
40,02/01/2018,['bdsi'],suppl-16,buprenorphine hydrochloride; naloxone hydrochloride,labeling,approval
41,02/01/2018,['allergan'],suppl-4,avibactam sodium; ceftazidime,efficacy,approval
42,02/01/2018,['rhodes'],suppl-3,buprenorphine hydrochloride,labeling,approval
43,02/01/2018,['amneal'],orig-1,methylphenidate hydrochloride,,approval
44,02/01/2018,['intercept'],suppl-3,obeticholic acid,labeling,approval
45,02/01/2018,['aurobindo'],orig-1,niacin,,approval
46,02/02/2018,['covis'],suppl-9,ferumoxytol,efficacy,approval
47,02/02/2018,['bayer'],suppl-12,radium ra-223 dichloride,labeling,approval
48,02/02/2018,['gilead'],suppl-11,idelalisib,labeling,approval
49,02/02/2018,['accord'],orig-1,prasugrel hydrochloride,,approval
50,02/02/2018,['ascent'],orig-1,oxymorphone hydrochloride,,approval
51,02/05/2018,['seton'],suppl-21,prednisolone sodium phosphate,labeling,approval
52,02/05/2018,['mylan'],orig-1,efavirenz; lamivudine; tenofovir disoproxil fumarate,type 3 - new dosage form,approval
53,02/05/2018,['radius'],suppl-1,abaloparatide,labeling,approval
54,02/06/2018,['curium'],suppl-16,sodium iodide i-131,labeling,approval
55,02/06/2018,['curium'],suppl-16,sodium iodide i-131,labeling,approval
56,02/06/2018,['organon'],suppl-9,desloratadine; pseudoephedrine sulfate,labeling,approval
57,02/06/2018,['takeda'],suppl-12,febuxostat,labeling,approval
58,02/06/2018,"['pf', 'prism', 'cv']",suppl-42,desvenlafaxine succinate,efficacy,approval
59,02/06/2018,['novast'],orig-1,metoprolol succinate,,approval
60,02/06/2018,['gilead'],suppl-10,idelalisib,rems,approval
61,02/06/2018,['pfizer'],suppl-7,palbociclib,efficacy,approval
62,02/06/2018,['astrazeneca'],suppl-2,olaparib,labeling,approval
63,02/06/2018,['actavis'],orig-1,ingenol mebutate,,tentative approval
64,02/06/2018,['akorn'],orig-1,betamethasone dipropionate,,approval
65,02/07/2018,['mayne'],suppl-30,doxycycline hyclate,labeling,approval
66,02/07/2018,['mayne'],suppl-26,doxycycline hyclate,labeling,approval
67,02/07/2018,['mayne'],suppl-26,doxycycline hyclate,labeling,approval
68,02/07/2018,['wockhardt'],suppl-32,acetaminophen; codeine phosphate,labeling,approval
69,02/07/2018,['janssen'],suppl-24,abiraterone acetate,efficacy,approval
70,02/07/2018,"['pf', 'prism', 'cv']",suppl-23,crizotinib,labeling,approval
71,02/07/2018,"['pf', 'prism', 'cv']",suppl-24,crizotinib,labeling,approval
72,02/07/2018,['watson'],orig-1,trientine hydrochloride,,approval
73,02/07/2018,['gilead'],orig-1,bictegravir sodium; emtricitabine; tenofovir alafenamide fumarate,type 1 - new molecular entity and type 4 - new combination,approval
74,02/07/2018,"['jubilant', 'generics']",orig-1,amantadine hydrochloride,,approval
75,02/08/2018,['clinigen'],suppl-16,dexrazoxane hydrochloride,labeling,approval
76,02/08/2018,"['bristol', 'myers', 'squibb']",suppl-93,ipilimumab,,approval
77,02/08/2018,['northstar'],orig-1,technetium tc-99m sodium pertechnetate generator,type 5 - new formulation or new manufacturer,approval
78,02/08/2018,['janssen'],suppl-24,rivaroxaban,labeling,approval
79,02/08/2018,['sarepta'],suppl-6,eteplirsen,labeling,approval
80,02/08/2018,['glasshouse'],orig-1,clindamycin phosphate,,approval
81,02/09/2018,['organon'],suppl-61,betamethasone acetate; betamethasone sodium phosphate,labeling,approval
82,02/09/2018,['bracco'],suppl-31,sincalide,labeling,approval
83,02/09/2018,"['sun', 'inds']",suppl-26,sulfamethoxazole; trimethoprim,labeling,approval
84,02/09/2018,"['merck', 'dohme']",suppl-42,sitagliptin phosphate,labeling,approval
85,02/09/2018,"['msd', 'sub', 'merck']",suppl-43,metformin hydrochloride; sitagliptin phosphate,labeling,approval
86,02/09/2018,"['bausch', 'lomb']",suppl-8,bepotastine besilate,labeling,approval
87,02/09/2018,"['centocor', 'ortho']",suppl-141,golimumab,,approval
88,02/09/2018,['janssen'],suppl-24,golimumab,,approval
89,02/09/2018,"['bristol', 'myers', 'squibb']",suppl-18,apixaban,labeling,approval
90,02/09/2018,"['merck', 'dohme']",suppl-18,metformin hydrochloride; sitagliptin phosphate,labeling,approval
91,02/09/2018,['otsuka'],suppl-3,brexpiprazole,labeling,approval
92,02/09/2018,['eyepoint'],orig-1,dexamethasone,type 5 - new formulation or new manufacturer,approval
93,02/09/2018,['amneal'],orig-1,fenofibrate,,approval
94,02/09/2018,['apotex'],orig-1,memantine hydrochloride,,approval
95,02/09/2018,['mylan'],orig-1,dolutegravir;emtricitabine;tenofovir alafenamide,type 4 - new combination,tentative approval
96,02/09/2018,['abhai'],orig-1,acetaminophen; oxycodone hydrochloride,,approval
97,02/12/2018,['pfizer'],suppl-48,atropine sulfate; diphenoxylate hydrochloride,labeling,approval
98,02/12/2018,"['organon', 'organon']",suppl-31,ethinyl estradiol; etonogestrel,labeling,approval
99,02/12/2018,['sandoz'],orig-1,glatiramer acetate,,approval
100,02/12/2018,['vertex'],orig-1,"ivacaftor; ivacaftor, tezacaftor",type 1 - new molecular entity,approval
101,02/13/2018,"['glenmark', 'generics']",suppl-15,ondansetron hydrochloride,labeling,approval
102,02/13/2018,"['glenmark', 'generics']",suppl-14,ondansetron,labeling,approval
103,02/13/2018,"['bristol', 'myers', 'squibb']",suppl-56,nivolumab,,approval
104,02/13/2018,['heritage'],orig-1,doxazosin mesylate,,approval
105,02/13/2018,['pai'],orig-1,betamethasone dipropionate,,approval
106,02/13/2018,['millicent'],suppl-1,prasterone,labeling,approval
107,02/14/2018,"['prof', 'dspls']",suppl-12,chlorhexidine gluconate; isopropyl alcohol,efficacy,approval
108,02/14/2018,"['prof', 'dspls']",suppl-12,chlorhexidine gluconate; isopropyl alcohol,efficacy,approval
109,02/14/2018,"['prof', 'dspls']",suppl-12,chlorhexidine gluconate; isopropyl alcohol,efficacy,approval
110,02/14/2018,['janssen'],orig-1,apalutamide,type 1 - new molecular entity,approval
111,02/15/2018,['fresenius'],suppl-34,ropivacaine hydrochloride,,approval
112,02/15/2018,['lilly'],suppl-30,tadalafil,efficacy,approval
113,02/15/2018,['bayer'],suppl-26,loratadine,labeling,approval
114,02/15/2018,['bayer'],suppl-26,loratadine,labeling,approval
115,02/15/2018,"['photocure', 'asa']",suppl-5,hexaminolevulinate hydrochloride,efficacy,approval
116,02/15/2018,"['istituto', 'ita', 'spa']",suppl-8,ampicillin sodium,labeling,approval
117,02/15/2018,"['istituto', 'ita', 'spa']",suppl-9,ampicillin sodium,labeling,approval
118,02/15/2018,"['istituto', 'ita', 'spa']",suppl-10,ampicillin sodium,labeling,approval
119,02/15/2018,"['hq', 'speclt']",suppl-13,ampicillin sodium,labeling,approval
120,02/15/2018,"['istituto', 'ita', 'spa']",suppl-6,ampicillin sodium,labeling,approval
121,02/15/2018,"['istituto', 'ita', 'spa']",suppl-7,ampicillin sodium,labeling,approval
122,02/15/2018,"['istituto', 'ita', 'spa']",suppl-8,ampicillin sodium,labeling,approval
123,02/15/2018,['eugia'],suppl-4,ampicillin sodium,labeling,approval
124,02/15/2018,['eugia'],suppl-7,ampicillin sodium,labeling,approval
125,02/15/2018,['sagent'],suppl-2,ampicillin sodium,labeling,approval
126,02/15/2018,['sagent'],suppl-1,ampicillin sodium,labeling,approval
127,02/15/2018,['sagent'],suppl-2,ampicillin sodium,labeling,approval
128,02/15/2018,"['bristol', 'myers', 'squibb']",suppl-44,nivolumab,,approval
129,02/15/2018,"['bristol', 'myers', 'squibb']",suppl-45,nivolumab,,approval
130,02/15/2018,"['istituto', 'ita', 'spa']",suppl-1,ampicillin sodium,labeling,approval
131,02/15/2018,"['istituto', 'ita', 'spa']",suppl-2,ampicillin sodium,labeling,approval
132,02/15/2018,[],suppl-1,ampicillin sodium,labeling,approval
133,02/15/2018,[],suppl-2,ampicillin sodium,labeling,approval
134,02/15/2018,[],suppl-4,ampicillin sodium,labeling,approval
135,02/15/2018,['hospira'],suppl-1,ampicillin sodium,labeling,approval
136,02/15/2018,['hospira'],suppl-1,ampicillin sodium,labeling,approval
137,02/15/2018,['aurobindo'],orig-1,naproxen sodium; sumatriptan succinate,,approval
138,02/15/2018,['amneal'],orig-1,nystatin; triamcinolone acetonide,,approval
139,02/16/2018,['bracco'],suppl-14,iopamidol,labeling,approval
140,02/16/2018,['bracco'],suppl-14,iopamidol,labeling,approval
141,02/16/2018,['bracco'],suppl-14,iopamidol,labeling,approval
142,02/16/2018,['bracco'],suppl-14,iopamidol,labeling,approval
143,02/16/2018,['novartis'],suppl-26,deferasirox,labeling,approval
144,02/16/2018,"['sun', 'inds']",suppl-16,valacyclovir hydrochloride,manufacturing (cmc),approval
145,02/16/2018,"['centocor', 'ortho']",suppl-141,ustekinumab,,approval
146,02/16/2018,['takeda'],suppl-22,vedolizumab,,approval
147,02/16/2018,['gland'],orig-1,adenosine,,approval
148,02/16/2018,['novartis'],suppl-7,deferasirox,labeling,approval
149,02/16/2018,['novartis'],suppl-2,deferasirox,labeling,approval
150,02/16/2018,['aurobindo'],orig-1,ibuprofen,,approval
151,02/16/2018,"['adamas', 'operations']",orig-1,amantadine hydrochloride,type 3 - new dosage form,approval
152,02/16/2018,[],orig-1,eltrombopag,,tentative approval
153,02/16/2018,['pharmacyclics'],orig-1,ibrutinib,type 3 - new dosage form,approval
154,02/16/2018,['pharmacyclics'],orig-2,ibrutinib,efficacy,approval
155,02/16/2018,['astrazeneca'],suppl-2,durvalumab,,approval
156,02/20/2018,['alvogen'],suppl-4,levonorgestrel,labeling,approval
157,02/20/2018,['bausch'],suppl-4,luliconazole,efficacy,approval
